year,station,do,ph,co,bod,na,tc,wqi
2014,3351,7.3,7.2,65,1.9,3.3,48,94.18
2014,3352,7.3,7.3,65,2,3,54,88.56
2014,3359,1.5,6.9,345,33.9,16.9,34251,30.04
2014,3360,3.9,7.1,233,17,10.5,22223,44.94
2014,3361,1,7.2,376,57.2,20.3,83554,32.78
2014,3362,0.9,7.2,506,61.1,19.6,106333,33.34
2014,3357,7.2,7,66,1.9,3.7,60,88.56
2014,3358,7.7,7.2,62,1.6,3,59,88.56
2014,3363,7.3,6.9,61,2.2,2,52,85.26
2014,3364,1.2,7.1,380,45.7,15.6,94083,33.34
2014,3365,3.2,7.1,258,23.5,10.3,54083,44.94
2014,1427,7.2,7.2,124,6.9,4.5,552,73.4
2014,3366,7.2,7.1,65,2.1,2.4,120,88.56
2014,3373,7.5,7.3,64,1.9,3.3,42,94.18
2014,3374,7.6,7.3,65,1.9,3.8,43,94.18
2014,2050,7.1,7.3,269,1.4,0.1,115,88.02
2014,2051,7.2,7.3,275,1.5,0.1,68,88.02
2014,2052,6.9,7.1,186,1.6,0.1,29,93.82
2014,2053,6.8,7.1,201,1.4,0.2,86,88.2
2014,1403,6.2,7.8,165,2.1,0,340,88.2
2014,1404,6.4,7.8,158,4.1,0.5,500,83.52
2014,1726,6.6,7.9,210,4.2,1.9,572,77.9
2013,2,6.7,0,208,1.8965,0.516,468,71.7
2013,1150,7.3,7.9,693,0.5,1,173,87.66
2013,1246,5,7.6,1676,1.8,8,174,76.42
2013,1865,6.7,0,506,1.8965,6,227,71.16
2013,1434,6,7.7,1863,8.6,1,1183,72.68
2013,1980,6.7,7.3,24300,1.8965,7,24,93.28
2013,1149,5.3,7.8,817,2.8,1,23,87.66
2013,1436,4.3,7.8,2307,103.8,1.23,1817,56.76
2013,1860,4.5,8.3,1287,1.5,11,5,87.66
2013,2082,6.7,7.3,183,1.8965,0,2,99.44
2013,1148,6.8,8.2,1862,2.5,0.87,64,87.66
2013,3205,5,8,183,0.7,0,468,76.96
2013,3204,3,7.7,183,0.4,0,468,71.34
2013,1862,6.7,8.1,2520,7.2,1,41,83.92
2013,2072,8.2,8.4,606,2.9,0,468,87.66
2013,1861,6.7,7.3,183,1.8965,0.516,468,88.2
2013,1399,5.6,7.5,41,2,0.08,13410,66.08
2013,1475,5.5,6.7,209,0.8,0.17,2915,70.36
2013,3181,5.5,7.1,123,1.5,0.09,6264,77.14
2013,3182,5.3,7.3,182,1.5,0.08,3080,76.96
2013,1400,6,7.6,100,1.2,0.17,6086,82.76
2013,1476,5.7,6.9,111,1,0.14,3061,73.84
2013,3185,6.4,7.1,140,1.1,0.1,7908,82.76
2013,3186,6.2,7.8,44,2,0.06,9320,82.94
2013,3187,6.1,7.6,43,1.8,0.06,9554,82.94
2013,1543,7,6.9,64,1.1,0.09,2841,79.64
2013,1548,6.6,6.5,62,1,0.14,7190,73.04
2013,2276,7,6.8,304,2,0.49,23867,67.5
2013,2275,7,7,55,1.2,0.66,2813,82.94
2013,3189,6.3,7.6,213,1.5,0.06,7069,82.58
2013,1546,6.7,6.8,83,1.2,0.17,3559,79.46
2013,2270,7.1,6.6,76,1,0.12,3527,72.86
2013,2272,6.7,6.6,107,1.3,0.22,3757,72.86
2013,1545,7.2,6.7,89,0.9,0.06,1996,76.16
2013,2274,4.2,6.7,192,2,0.16,9286,64.74
2013,2271,6.3,6.6,79,1.6,0.19,6054,72.86
2013,2273,5.6,7.7,142,1.7,0.14,3644,77.14
2013,3183,2.8,6.4,424,3.2,0.35,21036,21.52
2013,3184,5.2,7.1,306,2.6,0.34,1525,76.42
2013,3190,5.6,7.7,40,1.5,0.07,7130,77.32
2013,3191,5.5,7.7,40,1.5,0.08,12282,66.08
2013,1547,6.9,6.7,63,0.9,0.21,1132,76.34
2013,3188,6.3,7.6,227,1.7,0.08,3612,82.4
2013,1544,7.1,6.6,68,1.1,0.13,8167,73.04
2013,2651,6.9,7.7,121,3.3,1,163,83.7
2013,1461,7.2,8.2,112,3.3,1,94,83.7
2013,2653,6.9,7.7,103,3.7,0.57,103,83.7
2013,2654,6.9,7.6,104,3.5,0.75,79,83.7
2013,1092,6.4,7.4,1003,4.3,2.89,753,77.36
2013,2670,6.3,8.3,408,2.7,1.58,157,87.66
2013,1152,6.7,7.8,105,3.6,1,89,83.7
2013,2198,6.3,7.6,209,4.4,1.86,98,83.52
2013,2671,5.9,7.6,13768,5,1.79,300,77.36
2013,2672,7.3,7.7,86,3.2,1,93,83.7
2013,2168,3.6,7.4,6487,30.5,1.5,745,55.82
2013,2676,6.3,8.3,999,3.3,1.78,112,82.98
2013,1151,7.2,7.7,125,3.3,1,89,83.7
2013,1462,7.1,7.5,127,3.4,4.4,63,83.7
2013,2685,7.1,7.4,5300,38,1,667,72.68
2013,2686,7.2,7.6,127,3.2,1,51,83.7
2013,2687,7,7.6,126,3.3,1,63,83.7
